title,price,rating,rating_no,capacity,link
Crucial X6 1TB Portable SSD - Up to 800MB/s - PC and Mac - USB 3.2 USB-C External Solid State Drive - CT1000X6SSD9,64.99,4.5 out of 5 stars,"27,593 ratings",1TB,https://www.amazon.co.uk/Crucial-CT1000X6SSD9-X6-Portable-SSD/dp/B08FSZT2J7/ref=sr_1_1?crid=13VBQIRQGNOOE&dib=eyJ2IjoiMSJ9.JyDYBXrJ_gEqkMgpofu6KP7ok8n3wlu_XxSrRS5_J_I2QOFupvhxBOiZNKS8RroInHZ0uopt4AqqQwl3sJvXM1cUnYMauqfKoCGNPm-7t-9E1NORiFk7ePSo9EQM0mF6lHyzW4yj4K95LFQliwbXrb6e6njlwR4ZCSnKY0tnpGZccPlUO9y1IpqfQV1S6jAa7ryepATvQxehYc3JNBtkaQpEvNIuhaF_oASXjKQv3nddkujQiWwGLGxinaiV5f8Lw2HIV-5rLhrNoZnCX91HaiL2si5i8oQL6isQzesSyEo.4hB9_oN3lEBCCZ0941EsYWIpqFSIEZbQcCQTjSCuhVw&dib_tag=se&keywords=hard+drive&qid=1709668452&refinements=p_89%3ACrucial&rnid=1632651031&s=computers&sprefix=hard+drive%2Ccomputers%2C224&sr=1-
Crucial BX500 2TB 3D NAND SATA 2.5 Inch Internal SSD - Up to 540MB/s - CT2000BX500SSD101 (Acronis Edition),104.99,4.7 out of 5 stars,"115,225 ratings",2TB,https://www.amazon.co.uk/Crucial-BX500-NAND-Internal-CT2000BX500SSD101/dp/B0CCN9QWKT/ref=sr_1_2?crid=13VBQIRQGNOOE&dib=eyJ2IjoiMSJ9.JyDYBXrJ_gEqkMgpofu6KP7ok8n3wlu_XxSrRS5_J_I2QOFupvhxBOiZNKS8RroInHZ0uopt4AqqQwl3sJvXM1cUnYMauqfKoCGNPm-7t-9E1NORiFk7ePSo9EQM0mF6lHyzW4yj4K95LFQliwbXrb6e6njlwR4ZCSnKY0tnpGZccPlUO9y1IpqfQV1S6jAa7ryepATvQxehYc3JNBtkaQpEvNIuhaF_oASXjKQv3nddkujQiWwGLGxinaiV5f8Lw2HIV-5rLhrNoZnCX91HaiL2si5i8oQL6isQzesSyEo.4hB9_oN3lEBCCZ0941EsYWIpqFSIEZbQcCQTjSCuhVw&dib_tag=se&keywords=hard+drive&qid=1709668452&refinements=p_89%3ACrucial&rnid=1632651031&s=computers&sprefix=hard+drive%2Ccomputers%2C224&sr=1-
Crucial X6 2TB Portable SSD - Up to 800MB/s - PC and Mac - USB 3.2 USB-C External Solid State Drive - CT2000X6SSD9 - Black,93.99,4.5 out of 5 stars,"27,593 ratings",2TB,https://www.amazon.co.uk/Crucial-CT2000X6SSD9-X6-Portable-SSD/dp/B08FSNKNSV/ref=sr_1_3?crid=13VBQIRQGNOOE&dib=eyJ2IjoiMSJ9.JyDYBXrJ_gEqkMgpofu6KP7ok8n3wlu_XxSrRS5_J_I2QOFupvhxBOiZNKS8RroInHZ0uopt4AqqQwl3sJvXM1cUnYMauqfKoCGNPm-7t-9E1NORiFk7ePSo9EQM0mF6lHyzW4yj4K95LFQliwbXrb6e6njlwR4ZCSnKY0tnpGZccPlUO9y1IpqfQV1S6jAa7ryepATvQxehYc3JNBtkaQpEvNIuhaF_oASXjKQv3nddkujQiWwGLGxinaiV5f8Lw2HIV-5rLhrNoZnCX91HaiL2si5i8oQL6isQzesSyEo.4hB9_oN3lEBCCZ0941EsYWIpqFSIEZbQcCQTjSCuhVw&dib_tag=se&keywords=hard+drive&qid=1709668452&refinements=p_89%3ACrucial&rnid=1632651031&s=computers&sprefix=hard+drive%2Ccomputers%2C224&sr=1-
Crucial X6 500GB Portable SSD - Up to 540MB/s - PC and Mac - USB 3.2 USB-C External Solid State Drive - CT500X6SSD9,49.95,4.5 out of 5 stars,"27,593 ratings",500GB,https://www.amazon.co.uk/Crucial-CT500X6SSD9-500GB-Portable-SSD/dp/B08W1F8YGJ/ref=sr_1_5?crid=13VBQIRQGNOOE&dib=eyJ2IjoiMSJ9.JyDYBXrJ_gEqkMgpofu6KP7ok8n3wlu_XxSrRS5_J_I2QOFupvhxBOiZNKS8RroInHZ0uopt4AqqQwl3sJvXM1cUnYMauqfKoCGNPm-7t-9E1NORiFk7ePSo9EQM0mF6lHyzW4yj4K95LFQliwbXrb6e6njlwR4ZCSnKY0tnpGZccPlUO9y1IpqfQV1S6jAa7ryepATvQxehYc3JNBtkaQpEvNIuhaF_oASXjKQv3nddkujQiWwGLGxinaiV5f8Lw2HIV-5rLhrNoZnCX91HaiL2si5i8oQL6isQzesSyEo.4hB9_oN3lEBCCZ0941EsYWIpqFSIEZbQcCQTjSCuhVw&dib_tag=se&keywords=hard+drive&qid=1709668452&refinements=p_89%3ACrucial&rnid=1632651031&s=computers&sprefix=hard+drive%2Ccomputers%2C224&sr=1-
"Crucial X9 1TB Portable External SSD - Up to 1050MB/s, External Solid State Drive, Works with PlayStation, Xbox, PC and Mac, USB-C 3.2 - CT1000X9SSD902",70.99,4.5 out of 5 stars,"27,593 ratings",1TB,https://www.amazon.co.uk/Crucial-1TB-Portable-External-CT1000X9SSD902/dp/B0CGW1FQV4/ref=sr_1_6?crid=13VBQIRQGNOOE&dib=eyJ2IjoiMSJ9.JyDYBXrJ_gEqkMgpofu6KP7ok8n3wlu_XxSrRS5_J_I2QOFupvhxBOiZNKS8RroInHZ0uopt4AqqQwl3sJvXM1cUnYMauqfKoCGNPm-7t-9E1NORiFk7ePSo9EQM0mF6lHyzW4yj4K95LFQliwbXrb6e6njlwR4ZCSnKY0tnpGZccPlUO9y1IpqfQV1S6jAa7ryepATvQxehYc3JNBtkaQpEvNIuhaF_oASXjKQv3nddkujQiWwGLGxinaiV5f8Lw2HIV-5rLhrNoZnCX91HaiL2si5i8oQL6isQzesSyEo.4hB9_oN3lEBCCZ0941EsYWIpqFSIEZbQcCQTjSCuhVw&dib_tag=se&keywords=hard+drive&qid=1709668452&refinements=p_89%3ACrucial&rnid=1632651031&s=computers&sprefix=hard+drive%2Ccomputers%2C224&sr=1-
"Crucial X9 Pro 2TB Portable External SSD - Up to 1050MB/s Read/Write, External Solid State Drive, IP55 Water and Dust Resistant, USB-C 3.2 - CT2000X9PROSSD902",138.99,4.4 out of 5 stars,"1,410 ratings",2TB,https://www.amazon.co.uk/Crucial-Pro-2TB-Portable-CT2000X9PROSSD902/dp/B0C9WHSZZN/ref=sr_1_7?crid=13VBQIRQGNOOE&dib=eyJ2IjoiMSJ9.JyDYBXrJ_gEqkMgpofu6KP7ok8n3wlu_XxSrRS5_J_I2QOFupvhxBOiZNKS8RroInHZ0uopt4AqqQwl3sJvXM1cUnYMauqfKoCGNPm-7t-9E1NORiFk7ePSo9EQM0mF6lHyzW4yj4K95LFQliwbXrb6e6njlwR4ZCSnKY0tnpGZccPlUO9y1IpqfQV1S6jAa7ryepATvQxehYc3JNBtkaQpEvNIuhaF_oASXjKQv3nddkujQiWwGLGxinaiV5f8Lw2HIV-5rLhrNoZnCX91HaiL2si5i8oQL6isQzesSyEo.4hB9_oN3lEBCCZ0941EsYWIpqFSIEZbQcCQTjSCuhVw&dib_tag=se&keywords=hard+drive&qid=1709668452&refinements=p_89%3ACrucial&rnid=1632651031&s=computers&sprefix=hard+drive%2Ccomputers%2C224&sr=1-
"Crucial BX500 1TB 3D NAND SATA 2.5 Inch Internal SSD - Up to 540MB/s - CT1000BX500SSD101 (Acronis Edition), Black",69.99,4.7 out of 5 stars,"115,225 ratings",1TB,https://www.amazon.co.uk/Crucial-BX500-NAND-Internal-CT1000BX500SSD101/dp/B0CCN9NHTC/ref=sr_1_8?crid=13VBQIRQGNOOE&dib=eyJ2IjoiMSJ9.JyDYBXrJ_gEqkMgpofu6KP7ok8n3wlu_XxSrRS5_J_I2QOFupvhxBOiZNKS8RroInHZ0uopt4AqqQwl3sJvXM1cUnYMauqfKoCGNPm-7t-9E1NORiFk7ePSo9EQM0mF6lHyzW4yj4K95LFQliwbXrb6e6njlwR4ZCSnKY0tnpGZccPlUO9y1IpqfQV1S6jAa7ryepATvQxehYc3JNBtkaQpEvNIuhaF_oASXjKQv3nddkujQiWwGLGxinaiV5f8Lw2HIV-5rLhrNoZnCX91HaiL2si5i8oQL6isQzesSyEo.4hB9_oN3lEBCCZ0941EsYWIpqFSIEZbQcCQTjSCuhVw&dib_tag=se&keywords=hard+drive&qid=1709668452&refinements=p_89%3ACrucial&rnid=1632651031&s=computers&sprefix=hard+drive%2Ccomputers%2C224&sr=1-
Crucial X6 4TB Portable SSD - Up to 800MB/s - PC and Mac - USB 3.2 USB-C External Solid State Drive - CT4000X6SSD9,195.99,4.5 out of 5 stars,"27,593 ratings",4TB,https://www.amazon.co.uk/Crucial-CT4000X6SSD9-4TB-Portable-SSD/dp/B08W1KDM9K/ref=sr_1_9?crid=13VBQIRQGNOOE&dib=eyJ2IjoiMSJ9.JyDYBXrJ_gEqkMgpofu6KP7ok8n3wlu_XxSrRS5_J_I2QOFupvhxBOiZNKS8RroInHZ0uopt4AqqQwl3sJvXM1cUnYMauqfKoCGNPm-7t-9E1NORiFk7ePSo9EQM0mF6lHyzW4yj4K95LFQliwbXrb6e6njlwR4ZCSnKY0tnpGZccPlUO9y1IpqfQV1S6jAa7ryepATvQxehYc3JNBtkaQpEvNIuhaF_oASXjKQv3nddkujQiWwGLGxinaiV5f8Lw2HIV-5rLhrNoZnCX91HaiL2si5i8oQL6isQzesSyEo.4hB9_oN3lEBCCZ0941EsYWIpqFSIEZbQcCQTjSCuhVw&dib_tag=se&keywords=hard+drive&qid=1709668452&refinements=p_89%3ACrucial&rnid=1632651031&s=computers&sprefix=hard+drive%2Ccomputers%2C224&sr=1-
"Crucial X9 Pro 1TB Portable External SSD - Up to 1050MB/s Read/Write, External Solid State Drive, IP55 Water and Dust Resistant, USB-C 3.2 - CT1000X9PROSSD902",77.99,4.4 out of 5 stars,"1,410 ratings",1TB,https://www.amazon.co.uk/Crucial-Pro-1TB-Portable-CT1000X9PROSSD902/dp/B0C9WKGXHD/ref=sr_1_10?crid=13VBQIRQGNOOE&dib=eyJ2IjoiMSJ9.JyDYBXrJ_gEqkMgpofu6KP7ok8n3wlu_XxSrRS5_J_I2QOFupvhxBOiZNKS8RroInHZ0uopt4AqqQwl3sJvXM1cUnYMauqfKoCGNPm-7t-9E1NORiFk7ePSo9EQM0mF6lHyzW4yj4K95LFQliwbXrb6e6njlwR4ZCSnKY0tnpGZccPlUO9y1IpqfQV1S6jAa7ryepATvQxehYc3JNBtkaQpEvNIuhaF_oASXjKQv3nddkujQiWwGLGxinaiV5f8Lw2HIV-5rLhrNoZnCX91HaiL2si5i8oQL6isQzesSyEo.4hB9_oN3lEBCCZ0941EsYWIpqFSIEZbQcCQTjSCuhVw&dib_tag=se&keywords=hard+drive&qid=1709668452&refinements=p_89%3ACrucial&rnid=1632651031&s=computers&sprefix=hard+drive%2Ccomputers%2C224&sr=1-1
"Crucial X9 2TB Portable External SSD - Up to 1050MB/s, External Solid State Drive, Works with PlayStation, Xbox, PC and Mac, USB-C 3.2 - CT2000X9SSD902",121.99,4.5 out of 5 stars,"27,593 ratings",2TB,https://www.amazon.co.uk/Crucial-2TB-Portable-External-CT2000X9SSD902/dp/B0CGW18S6Y/ref=sr_1_11?crid=13VBQIRQGNOOE&dib=eyJ2IjoiMSJ9.JyDYBXrJ_gEqkMgpofu6KP7ok8n3wlu_XxSrRS5_J_I2QOFupvhxBOiZNKS8RroInHZ0uopt4AqqQwl3sJvXM1cUnYMauqfKoCGNPm-7t-9E1NORiFk7ePSo9EQM0mF6lHyzW4yj4K95LFQliwbXrb6e6njlwR4ZCSnKY0tnpGZccPlUO9y1IpqfQV1S6jAa7ryepATvQxehYc3JNBtkaQpEvNIuhaF_oASXjKQv3nddkujQiWwGLGxinaiV5f8Lw2HIV-5rLhrNoZnCX91HaiL2si5i8oQL6isQzesSyEo.4hB9_oN3lEBCCZ0941EsYWIpqFSIEZbQcCQTjSCuhVw&dib_tag=se&keywords=hard+drive&qid=1709668452&refinements=p_89%3ACrucial&rnid=1632651031&s=computers&sprefix=hard+drive%2Ccomputers%2C224&sr=1-1
