title,price,rating,rating_no,capacity,link
"Samsung 980 PRO SSD with Heatsink 2TB PCIe Gen 4 NVMe M.2 Internal Solid State Hard Drive, Heat Control, Max Speed, PS5 Compatible, MZ-V8P1T0CW",144.00,4.9 out of 5 stars,"2,471 ratings",2TB,https://www.amazon.co.uk/SSD-Samsung-Heatsink-NVMe-PCIe/dp/B09J14CJ89/ref=sr_1_1?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9.RW2oEQsVatCEvskxXILzqrhev5NIyUGzI3s15pLm22zsaKN6WRMRiHUH8YZ3TO31pgU1wWxhc9o5nDAM_bHJMSGpOxem2LHJh27gH2oyEXQjZ0TJQ1Eo9X6h1DtZ3ikNdiKtLrbsH3YCEwGJRrZcezlTqGJ50jVGvuWdWo_Gdc3wZJpq4Uof0imYOsMayVt_2rM-eIfAeMYBrappu6mBdP4GwsrGCbZn9qMbOGykkEkrohyIARLHTo4TdUgibG5_BwolJxUTqyeTVUYo15A3khfBCp_Do8T-k7PQtV_V_eA.Rqxsc3sErm5GlwWJbcPX8XeXLqNOaObDjv_CzxbMncs&dib_tag=se&keywords=hard+drive&qid=1709668450&refinements=p_89%3ASamsung&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-
Samsung 970 EVO Plus 1 TB PCIe NVMe M.2 Internal Solid State Drive (SSD) (MMZ-V7S1T0BW ),74.99,4.8 out of 5 stars,"56,799 ratings",1TB,https://www.amazon.co.uk/Samsung-MZ-V7S1T0BW-Solid-State-Drive/dp/B07MBQPQ62/ref=sr_1_2?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9.RW2oEQsVatCEvskxXILzqrhev5NIyUGzI3s15pLm22zsaKN6WRMRiHUH8YZ3TO31pgU1wWxhc9o5nDAM_bHJMSGpOxem2LHJh27gH2oyEXQjZ0TJQ1Eo9X6h1DtZ3ikNdiKtLrbsH3YCEwGJRrZcezlTqGJ50jVGvuWdWo_Gdc3wZJpq4Uof0imYOsMayVt_2rM-eIfAeMYBrappu6mBdP4GwsrGCbZn9qMbOGykkEkrohyIARLHTo4TdUgibG5_BwolJxUTqyeTVUYo15A3khfBCp_Do8T-k7PQtV_V_eA.Rqxsc3sErm5GlwWJbcPX8XeXLqNOaObDjv_CzxbMncs&dib_tag=se&keywords=hard+drive&qid=1709668450&refinements=p_89%3ASamsung&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-
Samsung 870 QVO 8 TB SATA 2.5 Inch Internal Solid State Drive (SSD) (MZ-77Q8T0),460.00,4.8 out of 5 stars,"45,817 ratings",8TB,https://www.amazon.co.uk/Samsung-Internal-Solid-State-MZ-77Q8T0/dp/B089RD13TX/ref=sr_1_4?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9.RW2oEQsVatCEvskxXILzqrhev5NIyUGzI3s15pLm22zsaKN6WRMRiHUH8YZ3TO31pgU1wWxhc9o5nDAM_bHJMSGpOxem2LHJh27gH2oyEXQjZ0TJQ1Eo9X6h1DtZ3ikNdiKtLrbsH3YCEwGJRrZcezlTqGJ50jVGvuWdWo_Gdc3wZJpq4Uof0imYOsMayVt_2rM-eIfAeMYBrappu6mBdP4GwsrGCbZn9qMbOGykkEkrohyIARLHTo4TdUgibG5_BwolJxUTqyeTVUYo15A3khfBCp_Do8T-k7PQtV_V_eA.Rqxsc3sErm5GlwWJbcPX8XeXLqNOaObDjv_CzxbMncs&dib_tag=se&keywords=hard+drive&qid=1709668450&refinements=p_89%3ASamsung&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-
"Samsung 980 PRO SSD with Heatsink 1TB PCIe Gen 4 NVMe M.2 Internal Solid State Hard Drive, Heat Control, Max Speed, PS5 Compatible, MZ-V8P1T0CW",109.00,4.8 out of 5 stars,"4,044 ratings",1TB,https://www.amazon.co.uk/SSD-Samsung-Heatsink-NVMe-PCIe/dp/B09J159SWL/ref=sr_1_10?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9.RW2oEQsVatCEvskxXILzqrhev5NIyUGzI3s15pLm22zsaKN6WRMRiHUH8YZ3TO31pgU1wWxhc9o5nDAM_bHJMSGpOxem2LHJh27gH2oyEXQjZ0TJQ1Eo9X6h1DtZ3ikNdiKtLrbsH3YCEwGJRrZcezlTqGJ50jVGvuWdWo_Gdc3wZJpq4Uof0imYOsMayVt_2rM-eIfAeMYBrappu6mBdP4GwsrGCbZn9qMbOGykkEkrohyIARLHTo4TdUgibG5_BwolJxUTqyeTVUYo15A3khfBCp_Do8T-k7PQtV_V_eA.Rqxsc3sErm5GlwWJbcPX8XeXLqNOaObDjv_CzxbMncs&dib_tag=se&keywords=hard+drive&qid=1709668450&refinements=p_89%3ASamsung&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-1
Samsung T7 Portable SSD - 2 TB - USB 3.2 Gen.2 External SSD Titanium Grey (MU-PC2T0T/WW),155.99,4.7 out of 5 stars,"41,861 ratings",2TB,https://www.amazon.co.uk/Samsung-T7-Portable-SSD-MU-PC2T0T/dp/B087DFFJRD/ref=sr_1_11?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9.RW2oEQsVatCEvskxXILzqrhev5NIyUGzI3s15pLm22zsaKN6WRMRiHUH8YZ3TO31pgU1wWxhc9o5nDAM_bHJMSGpOxem2LHJh27gH2oyEXQjZ0TJQ1Eo9X6h1DtZ3ikNdiKtLrbsH3YCEwGJRrZcezlTqGJ50jVGvuWdWo_Gdc3wZJpq4Uof0imYOsMayVt_2rM-eIfAeMYBrappu6mBdP4GwsrGCbZn9qMbOGykkEkrohyIARLHTo4TdUgibG5_BwolJxUTqyeTVUYo15A3khfBCp_Do8T-k7PQtV_V_eA.Rqxsc3sErm5GlwWJbcPX8XeXLqNOaObDjv_CzxbMncs&dib_tag=se&keywords=hard+drive&qid=1709668450&refinements=p_89%3ASamsung&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-1
Samsung T7 Portable SSD - 1 TB - USB 3.2 Gen.2 External SSD Titanium Grey (MU-PC1T0T/WW),97.48,4.7 out of 5 stars,"41,861 ratings",1TB,https://www.amazon.co.uk/Samsung-T7-Portable-SSD-MU-PC1T0T/dp/B087DFLF9S/ref=sr_1_12?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9.RW2oEQsVatCEvskxXILzqrhev5NIyUGzI3s15pLm22zsaKN6WRMRiHUH8YZ3TO31pgU1wWxhc9o5nDAM_bHJMSGpOxem2LHJh27gH2oyEXQjZ0TJQ1Eo9X6h1DtZ3ikNdiKtLrbsH3YCEwGJRrZcezlTqGJ50jVGvuWdWo_Gdc3wZJpq4Uof0imYOsMayVt_2rM-eIfAeMYBrappu6mBdP4GwsrGCbZn9qMbOGykkEkrohyIARLHTo4TdUgibG5_BwolJxUTqyeTVUYo15A3khfBCp_Do8T-k7PQtV_V_eA.Rqxsc3sErm5GlwWJbcPX8XeXLqNOaObDjv_CzxbMncs&dib_tag=se&keywords=hard+drive&qid=1709668450&refinements=p_89%3ASamsung&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-1
Samsung T7 Portable SSD Mettallic Red 1 TB,90.49,4.7 out of 5 stars,"41,861 ratings",1TB,https://www.amazon.co.uk/Samsung-Portable-SSD-Mettallic-Red/dp/B087DDP3L1/ref=sr_1_13?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9.RW2oEQsVatCEvskxXILzqrhev5NIyUGzI3s15pLm22zsaKN6WRMRiHUH8YZ3TO31pgU1wWxhc9o5nDAM_bHJMSGpOxem2LHJh27gH2oyEXQjZ0TJQ1Eo9X6h1DtZ3ikNdiKtLrbsH3YCEwGJRrZcezlTqGJ50jVGvuWdWo_Gdc3wZJpq4Uof0imYOsMayVt_2rM-eIfAeMYBrappu6mBdP4GwsrGCbZn9qMbOGykkEkrohyIARLHTo4TdUgibG5_BwolJxUTqyeTVUYo15A3khfBCp_Do8T-k7PQtV_V_eA.Rqxsc3sErm5GlwWJbcPX8XeXLqNOaObDjv_CzxbMncs&dib_tag=se&keywords=hard+drive&qid=1709668450&refinements=p_89%3ASamsung&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-1
Samsung T7 Shield Portable SSD 2 TB - USB 3.2 Gen.2 External SSD Blue (MU-PE2T0R/EU),159.98,4.7 out of 5 stars,"41,861 ratings",2TB,https://www.amazon.co.uk/Samsung-Shield-Portable-SSD-MU-PE2T0R/dp/B09SB35ZTW/ref=sr_1_14?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9.RW2oEQsVatCEvskxXILzqrhev5NIyUGzI3s15pLm22zsaKN6WRMRiHUH8YZ3TO31pgU1wWxhc9o5nDAM_bHJMSGpOxem2LHJh27gH2oyEXQjZ0TJQ1Eo9X6h1DtZ3ikNdiKtLrbsH3YCEwGJRrZcezlTqGJ50jVGvuWdWo_Gdc3wZJpq4Uof0imYOsMayVt_2rM-eIfAeMYBrappu6mBdP4GwsrGCbZn9qMbOGykkEkrohyIARLHTo4TdUgibG5_BwolJxUTqyeTVUYo15A3khfBCp_Do8T-k7PQtV_V_eA.Rqxsc3sErm5GlwWJbcPX8XeXLqNOaObDjv_CzxbMncs&dib_tag=se&keywords=hard+drive&qid=1709668450&refinements=p_89%3ASamsung&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-1
Samsung T7 Shield Portable SSD 2 TB - USB 3.2 Gen.2 External SSD Black (MU-PE2T0S/EU),166.00,4.7 out of 5 stars,"41,861 ratings",2TB,https://www.amazon.co.uk/Samsung-Shield-Portable-SSD-MU-PE2T0S/dp/B09S9N4T6K/ref=sr_1_15?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9.RW2oEQsVatCEvskxXILzqrhev5NIyUGzI3s15pLm22zsaKN6WRMRiHUH8YZ3TO31pgU1wWxhc9o5nDAM_bHJMSGpOxem2LHJh27gH2oyEXQjZ0TJQ1Eo9X6h1DtZ3ikNdiKtLrbsH3YCEwGJRrZcezlTqGJ50jVGvuWdWo_Gdc3wZJpq4Uof0imYOsMayVt_2rM-eIfAeMYBrappu6mBdP4GwsrGCbZn9qMbOGykkEkrohyIARLHTo4TdUgibG5_BwolJxUTqyeTVUYo15A3khfBCp_Do8T-k7PQtV_V_eA.Rqxsc3sErm5GlwWJbcPX8XeXLqNOaObDjv_CzxbMncs&dib_tag=se&keywords=hard+drive&qid=1709668450&refinements=p_89%3ASamsung&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-1
Samsung T7 Shield Portable SSD 1 TB - USB 3.2 Gen.2 External SSD Black (MU-PE1T0S/EU),93.00,4.7 out of 5 stars,"41,861 ratings",1TB,https://www.amazon.co.uk/Samsung-Shield-Portable-SSD-MU-PE1T0S/dp/B09SBJJ4JW/ref=sr_1_16?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9.RW2oEQsVatCEvskxXILzqrhev5NIyUGzI3s15pLm22zsaKN6WRMRiHUH8YZ3TO31pgU1wWxhc9o5nDAM_bHJMSGpOxem2LHJh27gH2oyEXQjZ0TJQ1Eo9X6h1DtZ3ikNdiKtLrbsH3YCEwGJRrZcezlTqGJ50jVGvuWdWo_Gdc3wZJpq4Uof0imYOsMayVt_2rM-eIfAeMYBrappu6mBdP4GwsrGCbZn9qMbOGykkEkrohyIARLHTo4TdUgibG5_BwolJxUTqyeTVUYo15A3khfBCp_Do8T-k7PQtV_V_eA.Rqxsc3sErm5GlwWJbcPX8XeXLqNOaObDjv_CzxbMncs&dib_tag=se&keywords=hard+drive&qid=1709668450&refinements=p_89%3ASamsung&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-1
