title,price,rating,rating_no,capacity,link
"WD 2 TB Elements Portable External Hard Drive - USB 3.0, Black",74.99,4.6 out of 5 stars,"52,656 ratings",2TB,https://www.amazon.co.uk/WD-Elements-Portable-External-Drive/dp/B06W55K9N6/ref=sr_1_1?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9._5isqLuKOGSbVMEFGn823bGCgmFEVxFi2aTiSB80R21AQ2CB-7hoBss0M-3pIx50nt_8J-7KjhZBViUDzO6096NvTyBZ1HdzLHp2wntXTNMrQ_Vck2iac2SjPeD55yRxyO0OkOy43l_WDFWuGogryT_wMDVdXVfjlbIs_t2D9iy4OUN3q1RDgtjiM1f46GfWZnmYfK6Y8-zFEdc90BcduK6m3QvC30AvC_8dbfJ7XRYtyo1Q_IRufxmGUSe_bI2ULy1QuJEPEbN1RkpJKkr815TWTiGNBbuyEnKB3C1QGh0.ePoCMZUmLltmoTVqFnfmlDDnIogvgzhHeRQ3OpTQB6A&dib_tag=se&keywords=hard+drive&qid=1709668450&refinements=p_89%3AWestern+Digital&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-
"WD 5 TB Elements Portable External Hard Drive - USB 3.0, Black",115.47,4.7 out of 5 stars,"309,714 ratings",5TB,https://www.amazon.co.uk/WD-Elements-Portable-External-Drive/dp/B07X41PWTY/ref=sr_1_2?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9._5isqLuKOGSbVMEFGn823bGCgmFEVxFi2aTiSB80R21AQ2CB-7hoBss0M-3pIx50nt_8J-7KjhZBViUDzO6096NvTyBZ1HdzLHp2wntXTNMrQ_Vck2iac2SjPeD55yRxyO0OkOy43l_WDFWuGogryT_wMDVdXVfjlbIs_t2D9iy4OUN3q1RDgtjiM1f46GfWZnmYfK6Y8-zFEdc90BcduK6m3QvC30AvC_8dbfJ7XRYtyo1Q_IRufxmGUSe_bI2ULy1QuJEPEbN1RkpJKkr815TWTiGNBbuyEnKB3C1QGh0.ePoCMZUmLltmoTVqFnfmlDDnIogvgzhHeRQ3OpTQB6A&dib_tag=se&keywords=hard+drive&qid=1709668450&refinements=p_89%3AWestern+Digital&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-
"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",106.99,4.7 out of 5 stars,"309,714 ratings",4TB,https://www.amazon.co.uk/WD-Elements-Portable-Hard-Drive/dp/B0713WPGLL/ref=sr_1_3?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9._5isqLuKOGSbVMEFGn823bGCgmFEVxFi2aTiSB80R21AQ2CB-7hoBss0M-3pIx50nt_8J-7KjhZBViUDzO6096NvTyBZ1HdzLHp2wntXTNMrQ_Vck2iac2SjPeD55yRxyO0OkOy43l_WDFWuGogryT_wMDVdXVfjlbIs_t2D9iy4OUN3q1RDgtjiM1f46GfWZnmYfK6Y8-zFEdc90BcduK6m3QvC30AvC_8dbfJ7XRYtyo1Q_IRufxmGUSe_bI2ULy1QuJEPEbN1RkpJKkr815TWTiGNBbuyEnKB3C1QGh0.ePoCMZUmLltmoTVqFnfmlDDnIogvgzhHeRQ3OpTQB6A&dib_tag=se&keywords=hard+drive&qid=1709668450&refinements=p_89%3AWestern+Digital&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-
"WD 1 TB Elements Portable External Hard Drive - USB 3.0, Black",52.24,4.7 out of 5 stars,"309,714 ratings",1TB,https://www.amazon.co.uk/WD-Elements-Portable-External-Drive/dp/B06VVS7S94/ref=sr_1_4?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9._5isqLuKOGSbVMEFGn823bGCgmFEVxFi2aTiSB80R21AQ2CB-7hoBss0M-3pIx50nt_8J-7KjhZBViUDzO6096NvTyBZ1HdzLHp2wntXTNMrQ_Vck2iac2SjPeD55yRxyO0OkOy43l_WDFWuGogryT_wMDVdXVfjlbIs_t2D9iy4OUN3q1RDgtjiM1f46GfWZnmYfK6Y8-zFEdc90BcduK6m3QvC30AvC_8dbfJ7XRYtyo1Q_IRufxmGUSe_bI2ULy1QuJEPEbN1RkpJKkr815TWTiGNBbuyEnKB3C1QGh0.ePoCMZUmLltmoTVqFnfmlDDnIogvgzhHeRQ3OpTQB6A&dib_tag=se&keywords=hard+drive&qid=1709668450&refinements=p_89%3AWestern+Digital&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-
WD 1.5TB Elements Portable External Hard Drive - USB 3.0,55.97,4.7 out of 5 stars,"309,714 ratings",5TB,https://www.amazon.co.uk/WD-Elements-Portable-Hard-Drive/dp/B06XDKWLJH/ref=sr_1_5?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9._5isqLuKOGSbVMEFGn823bGCgmFEVxFi2aTiSB80R21AQ2CB-7hoBss0M-3pIx50nt_8J-7KjhZBViUDzO6096NvTyBZ1HdzLHp2wntXTNMrQ_Vck2iac2SjPeD55yRxyO0OkOy43l_WDFWuGogryT_wMDVdXVfjlbIs_t2D9iy4OUN3q1RDgtjiM1f46GfWZnmYfK6Y8-zFEdc90BcduK6m3QvC30AvC_8dbfJ7XRYtyo1Q_IRufxmGUSe_bI2ULy1QuJEPEbN1RkpJKkr815TWTiGNBbuyEnKB3C1QGh0.ePoCMZUmLltmoTVqFnfmlDDnIogvgzhHeRQ3OpTQB6A&dib_tag=se&keywords=hard+drive&qid=1709668450&refinements=p_89%3AWestern+Digital&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-
WD 3TB Elements Portable External Hard Drive - USB 3.0,147.40,4.7 out of 5 stars,"309,714 ratings",3TB,https://www.amazon.co.uk/WD-Elements-Portable-Hard-Drive/dp/B06XG892ZH/ref=sr_1_6?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9._5isqLuKOGSbVMEFGn823bGCgmFEVxFi2aTiSB80R21AQ2CB-7hoBss0M-3pIx50nt_8J-7KjhZBViUDzO6096NvTyBZ1HdzLHp2wntXTNMrQ_Vck2iac2SjPeD55yRxyO0OkOy43l_WDFWuGogryT_wMDVdXVfjlbIs_t2D9iy4OUN3q1RDgtjiM1f46GfWZnmYfK6Y8-zFEdc90BcduK6m3QvC30AvC_8dbfJ7XRYtyo1Q_IRufxmGUSe_bI2ULy1QuJEPEbN1RkpJKkr815TWTiGNBbuyEnKB3C1QGh0.ePoCMZUmLltmoTVqFnfmlDDnIogvgzhHeRQ3OpTQB6A&dib_tag=se&keywords=hard+drive&qid=1709668450&refinements=p_89%3AWestern+Digital&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-
"WD 14 TB Elements Desktop External Hard Drive - USB 3.0, Black",234.99,4.6 out of 5 stars,"21,847 ratings",4TB,https://www.amazon.co.uk/WD-Elements-Desktop-External-Drive/dp/B07Y3KDVZH/ref=sr_1_9?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9._5isqLuKOGSbVMEFGn823bGCgmFEVxFi2aTiSB80R21AQ2CB-7hoBss0M-3pIx50nt_8J-7KjhZBViUDzO6096NvTyBZ1HdzLHp2wntXTNMrQ_Vck2iac2SjPeD55yRxyO0OkOy43l_WDFWuGogryT_wMDVdXVfjlbIs_t2D9iy4OUN3q1RDgtjiM1f46GfWZnmYfK6Y8-zFEdc90BcduK6m3QvC30AvC_8dbfJ7XRYtyo1Q_IRufxmGUSe_bI2ULy1QuJEPEbN1RkpJKkr815TWTiGNBbuyEnKB3C1QGh0.ePoCMZUmLltmoTVqFnfmlDDnIogvgzhHeRQ3OpTQB6A&dib_tag=se&keywords=hard+drive&qid=1709668450&refinements=p_89%3AWestern+Digital&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-
"WD 12 TB Elements Desktop External Hard Drive - USB 3.0, Black",200.44,4.6 out of 5 stars,"21,847 ratings",2TB,https://www.amazon.co.uk/WD-Elements-Desktop-External-Drive/dp/B07VXKF1L4/ref=sr_1_10?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9._5isqLuKOGSbVMEFGn823bGCgmFEVxFi2aTiSB80R21AQ2CB-7hoBss0M-3pIx50nt_8J-7KjhZBViUDzO6096NvTyBZ1HdzLHp2wntXTNMrQ_Vck2iac2SjPeD55yRxyO0OkOy43l_WDFWuGogryT_wMDVdXVfjlbIs_t2D9iy4OUN3q1RDgtjiM1f46GfWZnmYfK6Y8-zFEdc90BcduK6m3QvC30AvC_8dbfJ7XRYtyo1Q_IRufxmGUSe_bI2ULy1QuJEPEbN1RkpJKkr815TWTiGNBbuyEnKB3C1QGh0.ePoCMZUmLltmoTVqFnfmlDDnIogvgzhHeRQ3OpTQB6A&dib_tag=se&keywords=hard+drive&qid=1709668450&refinements=p_89%3AWestern+Digital&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-1
"WD 8 TB Elements Desktop External Hard Drive - USB 3.0, Black",169.99,4.6 out of 5 stars,"21,847 ratings",8TB,https://www.amazon.co.uk/WD-Elements-Desktop-Hard-Drive/dp/B07FNK6QMT/ref=sr_1_11?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9._5isqLuKOGSbVMEFGn823bGCgmFEVxFi2aTiSB80R21AQ2CB-7hoBss0M-3pIx50nt_8J-7KjhZBViUDzO6096NvTyBZ1HdzLHp2wntXTNMrQ_Vck2iac2SjPeD55yRxyO0OkOy43l_WDFWuGogryT_wMDVdXVfjlbIs_t2D9iy4OUN3q1RDgtjiM1f46GfWZnmYfK6Y8-zFEdc90BcduK6m3QvC30AvC_8dbfJ7XRYtyo1Q_IRufxmGUSe_bI2ULy1QuJEPEbN1RkpJKkr815TWTiGNBbuyEnKB3C1QGh0.ePoCMZUmLltmoTVqFnfmlDDnIogvgzhHeRQ3OpTQB6A&dib_tag=se&keywords=hard+drive&qid=1709668450&refinements=p_89%3AWestern+Digital&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-1
"WD 18TB Elements Desktop External Hard Drive - USB 3.0, Black",317.99,4.6 out of 5 stars,"21,847 ratings",18TB,https://www.amazon.co.uk/18TB-Elements-Desktop-External-Drive/dp/B08KY32HFR/ref=sr_1_12?crid=11I57DU1Q40BL&dib=eyJ2IjoiMSJ9._5isqLuKOGSbVMEFGn823bGCgmFEVxFi2aTiSB80R21AQ2CB-7hoBss0M-3pIx50nt_8J-7KjhZBViUDzO6096NvTyBZ1HdzLHp2wntXTNMrQ_Vck2iac2SjPeD55yRxyO0OkOy43l_WDFWuGogryT_wMDVdXVfjlbIs_t2D9iy4OUN3q1RDgtjiM1f46GfWZnmYfK6Y8-zFEdc90BcduK6m3QvC30AvC_8dbfJ7XRYtyo1Q_IRufxmGUSe_bI2ULy1QuJEPEbN1RkpJKkr815TWTiGNBbuyEnKB3C1QGh0.ePoCMZUmLltmoTVqFnfmlDDnIogvgzhHeRQ3OpTQB6A&dib_tag=se&keywords=hard+drive&qid=1709668450&refinements=p_89%3AWestern+Digital&rnid=1632651031&s=computers&sprefix=hard+driv%2Caps%2C205&sr=1-1
